9,18,Απολεσθέντα αντικείμενα,Υπηρεσίες
9,19,Φύλαξη αποσκευών,Υπηρεσίες
9,20,Υπηρεσίες για παιδιά,Υπηρεσίες
9,21,Ιατρικές υπηρεσίες,Υπηρεσίες
9,22,"Τράπεζες, ATMs και ταχυδρομείο",Χρήματα
9,23,Ανταλλακτήρια συναλλάγματος,Χρήματα
9,24,Τέχνη και πολιτισμός,Καταστήματα
9,25,E-parking,Μετακίνηση και διαμονή
9,26,Χώροι στάθμευσης,Μετακίνηση και διαμονή
9,27,Διαδικασίες στάθμευσης,Μετακίνηση και διαμονή
9,28,Βοηθητικές υπηρεσίες μετακίνησης,Υπηρεσίες
9,29,Καταστήματα,Καταστήματα
9,30,Εστιατόρια-καφέ,Καταστήματα
9,31,Προσφορές και νέα προιόντα,Πληροφορίες
9,32,Εγγύηση καλύτερης τιμής αγορών,Εισιτήρια
9,33,Πρόσβαση στο αεροδρόμιο,Πληροφορίες
9,34,Ταξί και λιμουζίνες,Μετακίνηση και διαμονή
9,35,Οδηγίες για προκαθορισμένες διαδρομές προς αεροδρόμιο,Πληροφορίες
9,36,Ηλεκτρονικό check-in,Πτήσεις
9,37,Πρόσβαση στο διαδίκτυο,Υπηρεσίες
9,38,Εφαρμογές για χρήση στο αεροδρόμιο,Υπηρεσίες
9,39,Εμπορικό πάρκο,Καταστήματα
9,40,Εκθεσιακό κέντρο,Καταστήματα
10,1,Πληροφορίες πτήσεων,υπηρεσίες πτήσεων
10,2,Απευθείας πτήσεις,υπηρεσίες πτήσεων
10,3,Πτήσεις μέσω Αθήνας,υπηρεσίες πτήσεων
10,4,Ενημέρωση πτήσεων,υπηρεσίες πτήσεων
10,5,Προσφορές εισιτηρίων,προσφορές
10,6,Άφιξη επιβατών,υπηρεσίες πτήσεων
10,7,Μετεπιβίβαση επιβατών,υπηρεσίες πτήσεων
10,8,Ξενοδοχείο στο αεροδρόμιο,χρήσιμες υπηρεσίες αεροδρομίου
10,9,Τουριστικές πληροφορίες,χρήσιμες υπηρεσίες αεροδρομίου
10,10,Μετατροπή συναλλάγματος,χρήσιμες υπηρεσίες αεροδρομίου
10,11,Ενοικίαση αυτοκινήτων,χρήσιμες υπηρεσίες αεροδρομίου
10,12,Αεροπορικές εταιρίες,υπηρεσίες πτήσεων
10,13,Διαδικασίες ελέγχου ασφαλείας,Ασφάλεια
10,14,Απαγορευμένα είδη κατά την πτήση,Χρήσιμες πληροφορίες καλής συμπεριφοράς
10,15,Ταξιδεύοντας με κατοικίδια,Χρήσιμες πληροφορίες καλής συμπεριφοράς
10,16,Έλεγχος διαβατηρίων,Ασφάλεια
10,17,Αναζήτηση αποσκευών ,Αποσκευές
10,18,Απολεσθέντα αντικείμενα,Αποσκευές
10,19,Φύλαξη αποσκευών,Αποσκευές
10,20,Υπηρεσίες για παιδιά,χρήσιμες υπηρεσίες αεροδρομίου
10,21,Ιατρικές υπηρεσίες,χρήσιμες υπηρεσίες αεροδρομίου
10,22,"Τράπεζες, ATMs και ταχυδρομείο",χρήσιμες υπηρεσίες αεροδρομίου
10,23,Ανταλλακτήρια συναλλάγματος,χρήσιμες υπηρεσίες αεροδρομίου
10,24,Τέχνη και πολιτισμός,χρήσιμες υπηρεσίες αεροδρομίου
10,25,E-parking,χρήσιμες υπηρεσίες αεροδρομίου
10,26,Χώροι στάθμευσης,χρήσιμες υπηρεσίες αεροδρομίου
